AGENCY,PROGRAM_MODEL,CITY,STATE,WARD
Concordia Place,Out of School Time Programming - Summer Only,Chicago,IL,26
"After School Matters, Inc.",Summer Youth Program,Chicago,IL,42
B.U.I.L.D. INC,Intensive Youth Services,Chicago,IL,31
Uhlich Children's Advantage Network dba UCAN,One Summer Chicago +PLUS Program,Chicago,IL,33
Phalanx Family Services,Community Re-Entry Support Centers,Chicago,IL,34
The Community Film Workshop of Chicago,Out of School Time Programming - Summer Only,Chicago,IL,20
Douglas Park Youth Services,Out of School Time Programming - School Year Only,Chicago,IL,12
Catholic Charities of the Archdiocese of Chicago,Summer Youth Employment Program,Chicago,IL,16
Sinai Community Institute,Summer Youth Employment Program,Chicago,IL,28
Y M C A of Metropolitan Chicago,RISE,Chicago,IL,25
Alliance for Community Peace,CHA After School Program,Chicago,IL,27
Back of the Yards Neighborhood Council,Out of School Time Programming - Year Round,Chicago,IL,15
JHP Community Center,Out of School Time Programming - Year Round,Chicago,IL,40
Heartland Human Care Services Inc,Summer Youth Employment Program,Chicago,IL,42
Howard Area Community Center,Intensive Youth Services,Chicago,IL,49
North Lawndale Employment Network,Industry-Specific Training and Placement Program,Chicago,IL,24
Chicago Youth Centers,Out of School Time Programming - Year Round,Chicago,IL,24
The CARA Program,Industry-Specific Training and Placement Program,Chicago,IL,42
Empowerment through Education and Exposure,Summer Youth Employment Program,Chicago,IL,29
Metropolitan Family Services,Transitional Jobs Program,Chicago,IL,20
Beyond the Ball NFP,Out of School Time Programming - Year Round,Chicago,IL,22
Heartland Human Care Services Inc,Out of School Time Programming - School Year Only,Chicago,IL,47
Youth Guidance,One Summer Chicago +PLUS Program,Chicago,IL,42
Community Human Services,One Summer Chicago +PLUS Program,Chicago,IL,47
"A Knock at Midnight, NFP",One Summer Chicago +PLUS Program,Chicago,IL,6
RefugeeOne,Behavioral Health Support (At-Risk Youth),Chicago,IL,48
Connections Abused Women & Child,Interim Housing,,,
Center on Halsted,Summer Youth Employment Program,Chicago,IL,44
Brighton Park Neighborhood Council,Out of School Time Programming - School Year Only,Chicago,IL,15
"Kingdom Community, Inc.",One Summer Chicago +PLUS Program,Chicago,IL,28
M.E.T.R.O. Squash NFP,Mentoring,Chicago,IL,5
"Central States SER, Jobs for Progress, Inc.",One Summer Chicago +PLUS Program,Chicago,IL,22
Western Kentucky University Research Foundation (WKURF) dba T/TAS,Head Start Support Services,Bowling Green,KY,
Westside Health Authority,Employment Preparation and Placement Program,Chicago,IL,29
Westside Health Authority,RISE,Chicago,IL,37
St. Leonard's Ministries,Employment Preparation and Placement Program,Chicago,IL,27
"SGA Youth & Family Services, NFP",RISE,Chicago,IL,14
"Family Focus, Inc.",Out of School Time Programming - School Year Only,Chicago,IL,24
Hyde Park Neighborhood Club,Out of School Time Programming - Year Round,Chicago,IL,4
Chicago House & Social Services Agency,Out of School Time Programming - Year Round,Chicago,IL,46
Global Girls,CHA After School Program,Chicago,IL,8
Christopher House,Out of School Time Programming - Year Round,Chicago,IL,35
Safer Foundation,Employment Preparation and Placement Program,Chicago,IL,42
McDermott Center dba Haymarket Center,Employment Preparation and Placement Program,Chicago,IL,27
Block Club Federation,Out of School Time Programming - Year Round,Chicago,IL,26
True Star Foundation,Out of School Time Programming - Year Round,Chicago,IL,9
Chicago Urban League,Out of School Time Programming - School Year Only,Chicago,IL,3
Arab American Action Network,Out of School Time Programming - Year Round,Chicago,IL,18
"Passages Alternative Living Programs, Inc.",Mentoring,Chicago,IL,3
Project Syncere,Out of School Time Programming - Summer and School Breaks,Chicago,IL,4
Lawndale Christian Legal Center,Intensive Youth Services,Chicago,IL,24
The Black Star Project,CHA After School Program,Chicago,IL,4
Boys and Girls Clubs of Chicago dba Boys & Girls Clubs of Greater Chicago,Out of School Time Programming - Year Round,Chicago,IL,22
Local-Motions,Out of School Time Programming - Year Round,Chicago,IL,29
The Salvation Army,Out of School Time Programming - Year Round,Chicago,IL,6
East Village Youth Program,Out of School Time Programming - School Year Only,Chicago,IL,30
Universal Family Connection,Youth Working for Success,Chicago,IL,34
Youth Outreach Services,One Summer Chicago +PLUS Program,Chicago,IL,29
"The Ethiopian Community Association of Chicago, Inc.",Industry-Specific Training and Placement Program,Chicago,IL,49
"Girl Scouts of Greater Chicago and Northwest Indiana, Inc.",Out of School Time Programming - School Year Only,Chicago,IL,22
Sinai Community Institute,Out of School Time Programming - Year Round,Chicago,IL,28
Dime Child Foundation,One Summer Chicago +PLUS Program,Chicago,IL,4
The CARA Program,Employment Preparation and Placement Program,Chicago,IL,42
Alliance for Community Peace,Out of School Time Programming - Year Round,Chicago,IL,27
Indo-American Center,Out of School Time Programming - Year Round,Chicago,IL,50
Howard Area Community Center,Out of School Time Programming - Year Round,Chicago,IL,49
Phalanx Family Services,Employment Preparation and Placement Program,Chicago,IL,34
The Black Star Project,Mentoring,Chicago,IL,4
Westside Health Authority,Youth Working for Success,Chicago,IL,37
Leave No Veteran Behind Incorporated,Greencorps Program,Chicago,IL,7
"Central States SER, Jobs for Progress, Inc.",Youth Work Experience Program,Chicago,IL,22
Phalanx Family Services,One Summer Chicago +PLUS Program,Chicago,IL,34
Polish American Association,Behavioral Health Support (At-Risk Youth),Chicago,IL,45
Local Initiative Support Corporation (LISC),Employment Preparation and Placement Program,Chicago,IL,22
Uhlich Children's Advantage Network dba UCAN,Greencorps Program,Chicago,IL,24
Chicago Youth Centers,Out of School Time Programming - School Year Only,Chicago,IL,11
"Chinese Mutual Aid Association, Inc.",CHA After School Program,Chicago,IL,48
"Spark Program, Inc.",Out of School Time Programming - School Year Only,Chicago,IL,42
Boys and Girls Clubs of Chicago dba Boys & Girls Clubs of Greater Chicago,Out of School Time Programming - School Year Only,Chicago,IL,1
Institute for Positive Living,Out of School Time Programming - Year Round,Chicago,IL,4
Catholic Charities of the Archdiocese of Chicago,One Summer Chicago +PLUS Program,Chicago,IL,16
"The Ethiopian Community Association of Chicago, Inc.",Out of School Time Programming - Summer and School Breaks,Chicago,IL,49
Children's Home & Aid Society of Illinois,Greencorps Program,Chicago,IL,20
"After School Matters, Inc.",After School Program,Chicago,IL,42
North Lawndale Employment Network,Employment Preparation and Placement Program,Chicago,IL,24
Fellowship Connection Inc.,Out of School Time Programming - Year Round,Chicago,IL,26
K.L.E.O. Community Family Life Center,One Summer Chicago +PLUS Program,Chicago,IL,20
Back of the Yards Neighborhood Council,RISE,Chicago,IL,20
B.U.I.L.D. INC,Intensive Youth Services,Chicago,IL,29
Hektoen Institute for Medical Research,RISE,Chicago,IL,28
The Catholic Bishop of Chicago - St. Sabina,Greencorps Program,Chicago,IL,17
Cambodian Association of Illinois,Out of School Time Programming - Summer Only,Chicago,IL,40
Changing Worlds,Out of School Time Programming - Year Round,Chicago,IL,12
"SGA Youth & Family Services, NFP",CHA After School Program,Chicago,IL,9
"Mikva Challenge Grant Foundation, Inc. dba Mikva Challenge",Summer Youth Employment Program,Chicago,IL,37
Connections Abused Women & Child,Counseling and Case Management Services,,,
Chicago West Community Music Center dba The Wish Program,Out of School Time Programming - Summer Only,Chicago,IL,28
Dime Child Foundation,Greencorps Program,Chicago,IL,4
Y M C A of Metropolitan Chicago,Out of School Time Programming - Year Round,Chicago,IL,20
Logan Square Neighborhood Association,Out of School Time Programming - Year Round,Chicago,IL,26
Metropolitan Family Services,Behavioral Health Support (At-Risk Youth),Chicago,IL,20
"New Life Centers of Chicagoland, NFP",Mentoring,Chicago,IL,22
Centers for New Horizons,One Summer Chicago +PLUS Program,Chicago,IL,3
